epoch,input_type,metric_name,layer,value
0,train,loss,,4.7265625
0,test,loss,,4.7265625
0,train,accuracy,,0.009790483649892304
0,test,accuracy,,0.0074393108848864525
0,general,weights_l2,_module.layers.0.weight,8.173852920532227
0,general,weights_l2,_module.layers.1.weight,8.175048828125
0,general,weights_l2,_module.layers.2.weight,6.12448787689209
0,general,grad_l2_norm,_module.layers.0.weight,0.0029802022036165
0,general,grad_l2_norm,_module.layers.1.weight,0.002703872974961996
0,general,grad_l2_norm,_module.layers.2.weight,0.002696154173463583
0,general,grad_cosine_similarity,_module.layers.0.weight,-0.028990862891077995
0,general,grad_cosine_similarity,_module.layers.1.weight,-0.031948987394571304
0,general,grad_cosine_similarity,_module.layers.2.weight,-0.042768094688653946
0,general,abs_grad_l1_norm,_module.layers.0.weight,0.4785735607147217
0,general,abs_grad_l1_norm,_module.layers.1.weight,0.4135032296180725
0,general,abs_grad_l1_norm,_module.layers.2.weight,0.286886990070343
0,general,zero_grad_percentage,_module.layers.0.weight,0.02002212405204773
0,general,zero_grad_percentage,_module.layers.1.weight,0.0
0,general,zero_grad_percentage,_module.layers.2.weight,0.0
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
500,train,loss,,1.0517578125
500,test,loss,,9.65625
500,train,accuracy,,0.7879381241433326
500,test,accuracy,,0.0
500,general,weights_l2,_module.layers.0.weight,40.99990463256836
500,general,weights_l2,_module.layers.1.weight,42.092716217041016
500,general,weights_l2,_module.layers.2.weight,34.362457275390625
500,general,grad_l2_norm,_module.layers.0.weight,0.09823890775442123
500,general,grad_l2_norm,_module.layers.1.weight,0.05444345250725746
500,general,grad_l2_norm,_module.layers.2.weight,0.09928464889526367
500,general,grad_cosine_similarity,_module.layers.0.weight,-0.22250200808048248
500,general,grad_cosine_similarity,_module.layers.1.weight,-0.3910638689994812
500,general,grad_cosine_similarity,_module.layers.2.weight,-0.2626842260360718
500,general,abs_grad_l1_norm,_module.layers.0.weight,15.834157943725586
500,general,abs_grad_l1_norm,_module.layers.1.weight,8.693833351135254
500,general,abs_grad_l1_norm,_module.layers.2.weight,11.706087112426758
500,general,zero_grad_percentage,_module.layers.0.weight,0.004889380652457476
500,general,zero_grad_percentage,_module.layers.1.weight,0.0
500,general,zero_grad_percentage,_module.layers.2.weight,0.0
500,train,zero_terms,,0.0
500,train,softmax_collapse,,0.0
1000,train,loss,,0.0014753341674804688
1000,test,loss,,23.421875
1000,train,accuracy,,1.0
1000,test,accuracy,,0.00026102845210127906
1000,general,weights_l2,_module.layers.0.weight,64.50391387939453
1000,general,weights_l2,_module.layers.1.weight,67.82856750488281
1000,general,weights_l2,_module.layers.2.weight,52.39219665527344
1000,general,grad_l2_norm,_module.layers.0.weight,0.00109366315882653
1000,general,grad_l2_norm,_module.layers.1.weight,0.0013617267832159996
1000,general,grad_l2_norm,_module.layers.2.weight,0.0020257229916751385
1000,general,grad_cosine_similarity,_module.layers.0.weight,-0.7369054555892944
1000,general,grad_cosine_similarity,_module.layers.1.weight,-0.5628320574760437
1000,general,grad_cosine_similarity,_module.layers.2.weight,-0.4898180663585663
1000,general,abs_grad_l1_norm,_module.layers.0.weight,0.17923752963542938
1000,general,abs_grad_l1_norm,_module.layers.1.weight,0.25943779945373535
1000,general,abs_grad_l1_norm,_module.layers.2.weight,0.27881133556365967
1000,general,zero_grad_percentage,_module.layers.0.weight,0.0
1000,general,zero_grad_percentage,_module.layers.1.weight,0.0
1000,general,zero_grad_percentage,_module.layers.2.weight,0.0
1000,train,zero_terms,,0.0
1000,train,softmax_collapse,,0.09281378239393234
1500,train,loss,,0.54345703125
1500,test,loss,,32.5625
1500,train,accuracy,,0.8592128451145487
1500,test,accuracy,,0.00039154267815191856
1500,general,weights_l2,_module.layers.0.weight,97.83721923828125
1500,general,weights_l2,_module.layers.1.weight,101.23959350585938
1500,general,weights_l2,_module.layers.2.weight,66.16651153564453
1500,general,grad_l2_norm,_module.layers.0.weight,0.30521419644355774
1500,general,grad_l2_norm,_module.layers.1.weight,0.30574461817741394
1500,general,grad_l2_norm,_module.layers.2.weight,5.1516804695129395
1500,general,grad_cosine_similarity,_module.layers.0.weight,-0.014239608310163021
1500,general,grad_cosine_similarity,_module.layers.1.weight,-0.013737178407609463
1500,general,grad_cosine_similarity,_module.layers.2.weight,-0.0012474402319639921
1500,general,abs_grad_l1_norm,_module.layers.0.weight,50.25895690917969
1500,general,abs_grad_l1_norm,_module.layers.1.weight,48.49284744262695
1500,general,abs_grad_l1_norm,_module.layers.2.weight,611.2384643554688
1500,general,zero_grad_percentage,_module.layers.0.weight,0.0
1500,general,zero_grad_percentage,_module.layers.1.weight,0.0
1500,general,zero_grad_percentage,_module.layers.2.weight,0.0
1500,train,zero_terms,,0.0
1500,train,softmax_collapse,,0.03818288445472717
2000,train,loss,,1.609375
2000,test,loss,,35.09375
2000,train,accuracy,,0.6953201488153514
2000,test,accuracy,,0.0005220569042025581
2000,general,weights_l2,_module.layers.0.weight,126.32784271240234
2000,general,weights_l2,_module.layers.1.weight,128.51092529296875
2000,general,weights_l2,_module.layers.2.weight,70.04307556152344
2000,general,grad_l2_norm,_module.layers.0.weight,0.42316022515296936
2000,general,grad_l2_norm,_module.layers.1.weight,0.7660811543464661
2000,general,grad_l2_norm,_module.layers.2.weight,21.778240203857422
2000,general,grad_cosine_similarity,_module.layers.0.weight,-0.0036615016870200634
2000,general,grad_cosine_similarity,_module.layers.1.weight,-0.001988145522773266
2000,general,grad_cosine_similarity,_module.layers.2.weight,-0.00012831698404625058
2000,general,abs_grad_l1_norm,_module.layers.0.weight,71.24681091308594
2000,general,abs_grad_l1_norm,_module.layers.1.weight,123.44598388671875
2000,general,abs_grad_l1_norm,_module.layers.2.weight,2403.7568359375
2000,general,zero_grad_percentage,_module.layers.0.weight,0.0
2000,general,zero_grad_percentage,_module.layers.1.weight,0.0
2000,general,zero_grad_percentage,_module.layers.2.weight,0.0
2000,train,zero_terms,,0.0
2000,train,softmax_collapse,,0.04836498945951462
2500,train,loss,,3.83203125
2500,test,loss,,37.46875
2500,train,accuracy,,0.4613275895829254
2500,test,accuracy,,0.00013051422605063953
2500,general,weights_l2,_module.layers.0.weight,162.70806884765625
2500,general,weights_l2,_module.layers.1.weight,156.2326202392578
2500,general,weights_l2,_module.layers.2.weight,72.16932678222656
2500,general,grad_l2_norm,_module.layers.0.weight,0.541450560092926
2500,general,grad_l2_norm,_module.layers.1.weight,1.9474111795425415
2500,general,grad_l2_norm,_module.layers.2.weight,71.66552734375
2500,general,grad_cosine_similarity,_module.layers.0.weight,-0.04682115465402603
2500,general,grad_cosine_similarity,_module.layers.1.weight,-0.013557530008256435
2500,general,grad_cosine_similarity,_module.layers.2.weight,-0.0007975316839292645
2500,general,abs_grad_l1_norm,_module.layers.0.weight,91.50358581542969
2500,general,abs_grad_l1_norm,_module.layers.1.weight,305.513671875
2500,general,abs_grad_l1_norm,_module.layers.2.weight,7960.783203125
2500,general,zero_grad_percentage,_module.layers.0.weight,0.0
2500,general,zero_grad_percentage,_module.layers.1.weight,0.0
2500,general,zero_grad_percentage,_module.layers.2.weight,0.0
2500,train,zero_terms,,0.0
2500,train,softmax_collapse,,0.012727628462016582
3000,train,loss,,4.46875
3000,test,loss,,38.53125
3000,train,accuracy,,0.47346778930879185
3000,test,accuracy,,0.00013051422605063953
3000,general,weights_l2,_module.layers.0.weight,189.4776611328125
3000,general,weights_l2,_module.layers.1.weight,170.01889038085938
3000,general,weights_l2,_module.layers.2.weight,73.03287506103516
3000,general,grad_l2_norm,_module.layers.0.weight,0.40672430396080017
3000,general,grad_l2_norm,_module.layers.1.weight,2.142958879470825
3000,general,grad_l2_norm,_module.layers.2.weight,76.30851745605469
3000,general,grad_cosine_similarity,_module.layers.0.weight,-0.06304103136062622
