epoch,input_type,metric_name,layer,value
0,train,loss,,4.718676064528177
0,test,loss,,4.729304243809915
0,train,accuracy,,0.020364205991775994
0,test,accuracy,,0.01592273557817802
0,general,weights_l2,layers.0.weight,8.413579940795898
0,general,weights_l2,layers.1.weight,8.408646583557129
0,general,weights_l2,layers.2.weight,6.287240028381348
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0006919105727894148
1,test,loss,,8.191709245185008
1,train,accuracy,,1.0
1,test,accuracy,,0.01631427825632994
1,general,weights_l2,layers.0.weight,260.0856628417969
1,general,weights_l2,layers.1.weight,216.9756622314453
1,general,weights_l2,layers.2.weight,135.93504333496094
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,9.324769005688672e-05
2,test,loss,,8.820461523415297
2,train,accuracy,,1.0
2,test,accuracy,,0.017880448968937614
2,general,weights_l2,layers.0.weight,356.7759094238281
2,general,weights_l2,layers.1.weight,299.4525146484375
2,general,weights_l2,layers.2.weight,186.82301330566406
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.3717608903765487e-05
3,test,loss,,9.242643346868023
3,train,accuracy,,1.0
3,test,accuracy,,0.01918559122944401
3,general,weights_l2,layers.0.weight,482.3949279785156
3,general,weights_l2,layers.1.weight,407.18768310546875
3,general,weights_l2,layers.2.weight,253.07672119140625
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,2.0322155726745948e-06
4,test,loss,,9.532346667397398
4,train,accuracy,,1.0
4,test,accuracy,,0.021143304620203602
4,general,weights_l2,layers.0.weight,651.5132446289062
4,general,weights_l2,layers.1.weight,553.00830078125
4,general,weights_l2,layers.2.weight,342.40203857421875
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,3.007007199829331e-07
5,test,loss,,9.644560932047373
5,train,accuracy,,1.0
5,test,accuracy,,0.026233359436178542
5,general,weights_l2,layers.0.weight,879.1581420898438
5,general,weights_l2,layers.1.weight,750.262939453125
5,general,weights_l2,layers.2.weight,462.81634521484375
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,4.431597260029835e-08
6,test,loss,,9.414152312855002
6,train,accuracy,,1.0
6,test,accuracy,,0.03745758287653354
6,general,weights_l2,layers.0.weight,1184.780517578125
6,general,weights_l2,layers.1.weight,1015.8009643554688
6,general,weights_l2,layers.2.weight,624.6098022460938
6,train,zero_terms,,0.0
6,train,softmax_collapse,,1.0
7,train,loss,,6.511524413516981e-09
7,test,loss,,8.930071568838988
7,train,accuracy,,1.0
7,test,accuracy,,0.06643174105977552
7,general,weights_l2,layers.0.weight,1592.911376953125
7,general,weights_l2,layers.1.weight,1369.9820556640625
7,general,weights_l2,layers.2.weight,840.5343017578125
7,train,zero_terms,,0.0
7,train,softmax_collapse,,1.0
8,train,loss,,9.608822735839303e-10
8,test,loss,,8.18580745128425
8,train,accuracy,,1.0
8,test,accuracy,,0.11733228921952493
8,general,weights_l2,layers.0.weight,2135.116943359375
8,general,weights_l2,layers.1.weight,1838.0040283203125
8,general,weights_l2,layers.2.weight,1127.304931640625
8,train,zero_terms,,0.0
8,train,softmax_collapse,,1.0
9,train,loss,,1.4315400296738797e-10
9,test,loss,,7.019609897958149
9,train,accuracy,,1.0
9,test,accuracy,,0.21913338553902376
9,general,weights_l2,layers.0.weight,2853.69287109375
9,general,weights_l2,layers.1.weight,2450.735107421875
9,general,weights_l2,layers.2.weight,1506.95068359375
9,train,zero_terms,,0.0
9,train,softmax_collapse,,1.0
10,train,loss,,2.1700362630585665e-11
10,test,loss,,5.38463479092822
10,train,accuracy,,1.0
10,test,accuracy,,0.3780997128687027
10,general,weights_l2,layers.0.weight,3800.85302734375
10,general,weights_l2,layers.1.weight,3245.98583984375
10,general,weights_l2,layers.2.weight,2008.695556640625
10,train,zero_terms,,0.0
10,train,softmax_collapse,,1.0
11,train,loss,,3.380336412852213e-12
11,test,loss,,3.818884414608045
11,train,accuracy,,1.0
11,test,accuracy,,0.5728269381362568
11,general,weights_l2,layers.0.weight,5040.37109375
11,general,weights_l2,layers.1.weight,4271.2978515625
11,general,weights_l2,layers.2.weight,2672.68896484375
11,train,zero_terms,,0.0
11,train,softmax_collapse,,1.0
12,train,loss,,5.450152002140323e-13
12,test,loss,,2.4146111556903334
12,train,accuracy,,1.0
12,test,accuracy,,0.7495432002088228
12,general,weights_l2,layers.0.weight,6640.9208984375
12,general,weights_l2,layers.1.weight,5588.24169921875
12,general,weights_l2,layers.2.weight,3554.497314453125
12,train,zero_terms,,0.0
12,train,softmax_collapse,,1.0
13,train,loss,,9.250594764015024e-14
13,test,loss,,1.4643473888252079
13,train,accuracy,,1.0
13,test,accuracy,,0.8596972069955625
13,general,weights_l2,layers.0.weight,8682.447265625
13,general,weights_l2,layers.1.weight,7282.07177734375
13,general,weights_l2,layers.2.weight,4731.77197265625
13,train,zero_terms,,0.0
13,train,softmax_collapse,,1.0
14,train,loss,,1.6636845285655333e-14
14,test,loss,,0.9832451332572634
14,train,accuracy,,1.0
14,test,accuracy,,0.921821978595667
14,general,weights_l2,layers.0.weight,11259.3115234375
14,general,weights_l2,layers.1.weight,9463.75
14,general,weights_l2,layers.2.weight,6300.42333984375
14,train,zero_terms,,0.0
14,train,softmax_collapse,,1.0
15,train,loss,,3.173581320283515e-15
15,test,loss,,0.7542740008058822
15,train,accuracy,,1.0
15,test,accuracy,,0.9484468807099974
15,general,weights_l2,layers.0.weight,14456.78515625
15,general,weights_l2,layers.1.weight,12250.11328125
15,general,weights_l2,layers.2.weight,8353.4892578125
15,train,zero_terms,,0.0
15,train,softmax_collapse,,1.0
16,train,loss,,6.407423815900114e-16
16,test,loss,,0.6324014330572819
16,train,accuracy,,1.0
16,test,accuracy,,0.9634560167058209
16,general,weights_l2,layers.0.weight,18086.435546875
16,general,weights_l2,layers.1.weight,15640.4716796875
16,general,weights_l2,layers.2.weight,10954.208984375
16,train,zero_terms,,0.0
16,train,softmax_collapse,,1.0
17,train,loss,,1.7358783731411543e-16
17,test,loss,,0.5988486106582598
17,train,accuracy,,1.0
17,test,accuracy,,0.9805533803184547
17,general,weights_l2,layers.0.weight,20239.248046875
17,general,weights_l2,layers.1.weight,17971.962890625
17,general,weights_l2,layers.2.weight,13566.5361328125
17,train,zero_terms,,0.13824162913647933
17,train,softmax_collapse,,1.0
18,train,loss,,7.691343374043086e-17
18,test,loss,,0.7806215580999277
18,train,accuracy,,1.0
18,test,accuracy,,0.9872096058470373
18,general,weights_l2,layers.0.weight,21188.734375
18,general,weights_l2,layers.1.weight,19034.7890625
18,general,weights_l2,layers.2.weight,14943.318359375
18,train,zero_terms,,0.3518699823771294
18,train,softmax_collapse,,1.0
19,train,loss,,5.3217661333118916e-17
19,test,loss,,0.8793998473522643
19,train,accuracy,,1.0
19,test,accuracy,,0.9898198903680501
19,general,weights_l2,layers.0.weight,21815.2421875
19,general,weights_l2,layers.1.weight,19729.8125
19,general,weights_l2,layers.2.weight,15819.171875
19,train,zero_terms,,0.5232034462502447
19,train,softmax_collapse,,1.0
