epoch,input_type,metric_name,layer,value
0,train,loss,,4.718758945891439
0,test,loss,,4.731723606564261
0,train,accuracy,,0.018210299588799685
0,test,accuracy,,0.006134168624380058
0,general,weights_l2,layers.0.weight,8.43684196472168
0,general,weights_l2,layers.1.weight,8.41175365447998
0,general,weights_l2,layers.2.weight,6.321713924407959
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.0006438581823461443
1,test,loss,,7.683988111374584
1,train,accuracy,,1.0
1,test,accuracy,,0.0024797702949621507
1,general,weights_l2,layers.0.weight,257.47698974609375
1,general,weights_l2,layers.1.weight,214.89474487304688
1,general,weights_l2,layers.2.weight,135.7526397705078
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,8.504296151039774e-05
2,test,loss,,7.82518945399387
2,train,accuracy,,1.0
2,test,accuracy,,0.007700339336987732
2,general,weights_l2,layers.0.weight,350.4512634277344
2,general,weights_l2,layers.1.weight,294.3421325683594
2,general,weights_l2,layers.2.weight,185.00094604492188
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.2180502789989298e-05
3,test,loss,,7.734191278364923
3,train,accuracy,,1.0
3,test,accuracy,,0.022317932654659357
3,general,weights_l2,layers.0.weight,469.96832275390625
3,general,weights_l2,layers.1.weight,397.0461730957031
3,general,weights_l2,layers.2.weight,248.41064453125
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,1.7502992266553654e-06
4,test,loss,,7.3828746429624665
4,train,accuracy,,1.0
4,test,accuracy,,0.05507700339336988
4,general,weights_l2,layers.0.weight,627.979736328125
4,general,weights_l2,layers.1.weight,533.8804931640625
4,general,weights_l2,layers.2.weight,332.51727294921875
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,2.5217291247861373e-07
5,test,loss,,6.7105855952918825
5,train,accuracy,,1.0
5,test,accuracy,,0.13260245366744974
5,general,weights_l2,layers.0.weight,837.59033203125
5,general,weights_l2,layers.1.weight,716.5304565429688
5,general,weights_l2,layers.2.weight,444.4702453613281
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,3.6311262129009667e-08
6,test,loss,,5.398185553169892
6,train,accuracy,,1.0
6,test,accuracy,,0.2839989558861916
