epoch,input_type,metric_name,layer,value
0,train,loss,,4.7272844314575195
0,test,loss,,4.727590084075928
0,train,accuracy,,0.007962406996475655
0,test,accuracy,,0.009201252936570085
0,general,weights_l2,layers.0.weight,8.173282623291016
0,general,weights_l2,layers.1.weight,8.174443244934082
0,general,weights_l2,layers.2.weight,6.123136520385742
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.719790935516357
1,test,loss,,4.734748363494873
1,train,accuracy,,0.01475003263281556
1,test,accuracy,,0.0037196554424432263
1,general,weights_l2,layers.0.weight,8.374509811401367
1,general,weights_l2,layers.1.weight,8.375398635864258
1,general,weights_l2,layers.2.weight,6.389011859893799
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.705371856689453
2,test,loss,,4.7568254470825195
2,train,accuracy,,0.01657747030413784
2,test,accuracy,,0.0029365700861393894
2,general,weights_l2,layers.0.weight,9.059830665588379
2,general,weights_l2,layers.1.weight,9.060088157653809
2,general,weights_l2,layers.2.weight,7.263506889343262
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.667328834533691
3,test,loss,,4.802610397338867
3,train,accuracy,,0.025584127398511944
3,test,accuracy,,0.0007830853563038371
3,general,weights_l2,layers.0.weight,10.584870338439941
3,general,weights_l2,layers.1.weight,10.584370613098145
3,general,weights_l2,layers.2.weight,9.094293594360352
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.470609188079834
4,test,loss,,5.060122966766357
4,train,accuracy,,0.053778880041770005
4,test,accuracy,,0.0
4,general,weights_l2,layers.0.weight,14.847725868225098
4,general,weights_l2,layers.1.weight,14.84614086151123
4,general,weights_l2,layers.2.weight,13.82477855682373
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.656909704208374
5,test,loss,,6.267882347106934
5,train,accuracy,,0.17504242266022713
5,test,accuracy,,0.0
5,general,weights_l2,layers.0.weight,24.887399673461914
5,general,weights_l2,layers.1.weight,24.949779510498047
5,general,weights_l2,layers.2.weight,24.308069229125977
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,0.8828558921813965
6,test,loss,,5.318343639373779
6,train,accuracy,,0.8262628899621459
6,test,accuracy,,0.0389584964761159
6,general,weights_l2,layers.0.weight,37.884033203125
6,general,weights_l2,layers.1.weight,41.5758056640625
6,general,weights_l2,layers.2.weight,39.52420425415039
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,0.04012967273592949
7,test,loss,,4.310198783874512
7,train,accuracy,,1.0
7,test,accuracy,,0.13410336726703212
7,general,weights_l2,layers.0.weight,43.53713607788086
7,general,weights_l2,layers.1.weight,46.88479995727539
7,general,weights_l2,layers.2.weight,45.01678466796875
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,0.016738582402467728
8,test,loss,,4.158053398132324
8,train,accuracy,,1.0
8,test,accuracy,,0.16425215348472982
8,general,weights_l2,layers.0.weight,45.072174072265625
8,general,weights_l2,layers.1.weight,48.31330490112305
8,general,weights_l2,layers.2.weight,46.502716064453125
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,0.010034319944679737
9,test,loss,,4.076043605804443
9,train,accuracy,,1.0
9,test,accuracy,,0.18539545810493344
9,general,weights_l2,layers.0.weight,45.9198112487793
9,general,weights_l2,layers.1.weight,49.10494613647461
9,general,weights_l2,layers.2.weight,47.32465744018555
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,0.006997931748628616
10,test,loss,,4.021003246307373
10,train,accuracy,,1.0
10,test,accuracy,,0.19968676585747847
10,general,weights_l2,layers.0.weight,46.4971923828125
10,general,weights_l2,layers.1.weight,49.645263671875
10,general,weights_l2,layers.2.weight,47.885066986083984
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,0.005301607772707939
11,test,loss,,3.9800031185150146
11,train,accuracy,,1.0
11,test,accuracy,,0.21064996084573218
11,general,weights_l2,layers.0.weight,46.93177795410156
11,general,weights_l2,layers.1.weight,50.05250930786133
11,general,weights_l2,layers.2.weight,48.30715560913086
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,0.004229958634823561
12,test,loss,,3.947146415710449
12,train,accuracy,,1.0
12,test,accuracy,,0.221221613155834
12,general,weights_l2,layers.0.weight,47.27854919433594
12,general,weights_l2,layers.1.weight,50.37778854370117
12,general,weights_l2,layers.2.weight,48.64411163330078
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,0.0034982406068593264
13,test,loss,,3.9201467037200928
13,train,accuracy,,1.0
13,test,accuracy,,0.2268989819890368
13,general,weights_l2,layers.0.weight,47.56610870361328
13,general,weights_l2,layers.1.weight,50.64775085449219
13,general,weights_l2,layers.2.weight,48.92363739013672
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.0
14,train,loss,,0.002968811895698309
14,test,loss,,3.896679401397705
14,train,accuracy,,1.0
14,test,accuracy,,0.2347298355520752
14,general,weights_l2,layers.0.weight,47.81116485595703
14,general,weights_l2,layers.1.weight,50.877960205078125
14,general,weights_l2,layers.2.weight,49.161922454833984
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.0
15,train,loss,,0.0025699962861835957
15,test,loss,,3.876100540161133
15,train,accuracy,,1.0
15,test,accuracy,,0.2384494909945184
15,general,weights_l2,layers.0.weight,48.02428436279297
15,general,weights_l2,layers.1.weight,51.07828140258789
15,general,weights_l2,layers.2.weight,49.369205474853516
15,train,zero_terms,,0.0
15,train,softmax_collapse,,0.0
16,train,loss,,0.002259849337860942
16,test,loss,,3.857954502105713
16,train,accuracy,,1.0
16,test,accuracy,,0.24295223179326547
16,general,weights_l2,layers.0.weight,48.212581634521484
16,general,weights_l2,layers.1.weight,51.25535583496094
16,general,weights_l2,layers.2.weight,49.55238723754883
16,train,zero_terms,,0.0
16,train,softmax_collapse,,0.0
17,train,loss,,0.0020123934373259544
17,test,loss,,3.841820478439331
17,train,accuracy,,1.0
17,test,accuracy,,0.2490211433046202
17,general,weights_l2,layers.0.weight,48.381065368652344
17,general,weights_l2,layers.1.weight,51.41386795043945
17,general,weights_l2,layers.2.weight,49.716331481933594
17,train,zero_terms,,0.0
17,train,softmax_collapse,,0.0
18,train,loss,,0.0018106794450432062
18,test,loss,,3.827357530593872
18,train,accuracy,,1.0
18,test,accuracy,,0.2523492560689115
18,general,weights_l2,layers.0.weight,48.533382415771484
18,general,weights_l2,layers.1.weight,51.55722427368164
18,general,weights_l2,layers.2.weight,49.864566802978516
18,train,zero_terms,,0.0
18,train,softmax_collapse,,0.0
19,train,loss,,0.001643385156057775
19,test,loss,,3.8142478466033936
19,train,accuracy,,1.0
19,test,accuracy,,0.2568519968676586
19,general,weights_l2,layers.0.weight,48.67226791381836
19,general,weights_l2,layers.1.weight,51.68798065185547
19,general,weights_l2,layers.2.weight,49.999755859375
19,train,zero_terms,,0.0
19,train,softmax_collapse,,0.0
20,train,loss,,0.0015025153988972306
20,test,loss,,3.8022854328155518
20,train,accuracy,,1.0
20,test,accuracy,,0.25939702427564604
20,general,weights_l2,layers.0.weight,48.7998161315918
20,general,weights_l2,layers.1.weight,51.80810546875
20,general,weights_l2,layers.2.weight,50.123924255371094
20,train,zero_terms,,0.0
20,train,softmax_collapse,,0.0
21,train,loss,,0.001382448710501194
21,test,loss,,3.7913074493408203
21,train,accuracy,,1.0
21,test,accuracy,,0.26350822239624117
21,general,weights_l2,layers.0.weight,48.91767883300781
21,general,weights_l2,layers.1.weight,51.91913986206055
21,general,weights_l2,layers.2.weight,50.23868179321289
21,train,zero_terms,,0.0
21,train,softmax_collapse,,0.0
22,train,loss,,0.001278999145142734
22,test,loss,,3.781118392944336
22,train,accuracy,,1.0
22,test,accuracy,,0.2660532498042287
22,general,weights_l2,layers.0.weight,49.02717590332031
22,general,weights_l2,layers.1.weight,52.02231979370117
22,general,weights_l2,layers.2.weight,50.345306396484375
22,train,zero_terms,,0.0
22,train,softmax_collapse,,0.0
23,train,loss,,0.0011890067253261805
23,test,loss,,3.7716355323791504
23,train,accuracy,,1.0
23,test,accuracy,,0.2687940485512921
23,general,weights_l2,layers.0.weight,49.12937927246094
23,general,weights_l2,layers.1.weight,52.118648529052734
23,general,weights_l2,layers.2.weight,50.44483184814453
23,train,zero_terms,,0.0
23,train,softmax_collapse,,0.0
24,train,loss,,0.0011100638657808304
24,test,loss,,3.7627112865448
24,train,accuracy,,1.0
24,test,accuracy,,0.2707517619420517
24,general,weights_l2,layers.0.weight,49.225162506103516
24,general,weights_l2,layers.1.weight,52.208946228027344
24,general,weights_l2,layers.2.weight,50.53812026977539
24,train,zero_terms,,0.0
24,train,softmax_collapse,,0.0
25,train,loss,,0.0010402960469946265
25,test,loss,,3.754270315170288
25,train,accuracy,,1.0
25,test,accuracy,,0.2725137039937353
25,general,weights_l2,layers.0.weight,49.31525421142578
25,general,weights_l2,layers.1.weight,52.29389572143555
25,general,weights_l2,layers.2.weight,50.625877380371094
25,train,zero_terms,,0.0
25,train,softmax_collapse,,0.0
26,train,loss,,0.000978188938461244
26,test,loss,,3.74627423286438
26,train,accuracy,,1.0
26,test,accuracy,,0.27525450274079877
26,general,weights_l2,layers.0.weight,49.4002685546875
26,general,weights_l2,layers.1.weight,52.37407684326172
26,general,weights_l2,layers.2.weight,50.70869827270508
26,train,zero_terms,,0.0
26,train,softmax_collapse,,0.0
27,train,loss,,0.0009226081892848015
27,test,loss,,3.7386889457702637
27,train,accuracy,,1.0
27,test,accuracy,,0.2781910728269381
27,general,weights_l2,layers.0.weight,49.48073196411133
27,general,weights_l2,layers.1.weight,52.44997787475586
27,general,weights_l2,layers.2.weight,50.787086486816406
27,train,zero_terms,,0.0
27,train,softmax_collapse,,0.0
28,train,loss,,0.0008726133382879198
28,test,loss,,3.731492280960083
28,train,accuracy,,1.0
28,test,accuracy,,0.2793657008613939
28,general,weights_l2,layers.0.weight,49.55708694458008
28,general,weights_l2,layers.1.weight,52.52201461791992
28,general,weights_l2,layers.2.weight,50.861480712890625
28,train,zero_terms,,0.0
28,train,softmax_collapse,,0.0
29,train,loss,,0.0008274176507256925
29,test,loss,,3.724651336669922
29,train,accuracy,,1.0
29,test,accuracy,,0.2817149569303054
29,general,weights_l2,layers.0.weight,49.62971115112305
29,general,weights_l2,layers.1.weight,52.590545654296875
29,general,weights_l2,layers.2.weight,50.932247161865234
29,train,zero_terms,,0.0
