epoch,input_type,metric_name,layer,value
0,train,loss,,4.727342075212544
0,test,loss,,4.727557757726241
0,train,accuracy,,0.008055493398970687
0,test,accuracy,,0.010180109631949883
0,general,weights_l2,layers.0.weight,8.173260688781738
0,general,weights_l2,layers.1.weight,8.174421310424805
0,general,weights_l2,layers.2.weight,6.123106479644775
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.722398274365201
1,test,loss,,4.7328793910094324
1,train,accuracy,,0.011523830834638621
1,test,accuracy,,0.003915426781519186
1,general,weights_l2,layers.0.weight,8.313345909118652
1,general,weights_l2,layers.1.weight,8.314204216003418
1,general,weights_l2,layers.2.weight,6.308490753173828
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.714409306094844
2,test,loss,,4.7457850608107695
2,train,accuracy,,0.010628776012530768
2,test,accuracy,,0.004698512137823023
2,general,weights_l2,layers.0.weight,8.779296875
2,general,weights_l2,layers.1.weight,8.779793739318848
2,general,weights_l2,layers.2.weight,6.910630702972412
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.698555592404143
3,test,loss,,4.771369093693472
3,train,accuracy,,0.011300067129111658
3,test,accuracy,,0.004176455233620465
3,general,weights_l2,layers.0.weight,9.70492172241211
3,general,weights_l2,layers.1.weight,9.704891204833984
3,general,weights_l2,layers.2.weight,8.053468704223633
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.650259611713059
4,test,loss,,4.840857950829122
4,train,accuracy,,0.029536809129559187
4,test,accuracy,,0.00026102845210127906
4,general,weights_l2,layers.0.weight,11.64832592010498
4,general,weights_l2,layers.1.weight,11.64787769317627
4,general,weights_l2,layers.2.weight,10.312942504882812
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,4.43450203798421
5,test,loss,,5.185396520624545
5,train,accuracy,,0.058066681584247035
5,test,accuracy,,0.0
5,general,weights_l2,layers.0.weight,16.35987663269043
5,general,weights_l2,layers.1.weight,16.357685089111328
5,general,weights_l2,layers.2.weight,15.436258316040039
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,3.1082356671892186
6,test,loss,,5.517892089967419
6,train,accuracy,,0.3501901991496979
6,test,accuracy,,0.0028713129731140694
6,general,weights_l2,layers.0.weight,26.90093421936035
6,general,weights_l2,layers.1.weight,27.40838623046875
