epoch,input_type,metric_name,layer,value
0,train,loss,,4.726675987243652
0,test,loss,,4.727728843688965
0,train,accuracy,,0.009790483649892304
0,test,accuracy,,0.0074393108848864525
0,general,weights_l2,layers.0.weight,8.173734664916992
0,general,weights_l2,layers.1.weight,8.17491626739502
0,general,weights_l2,layers.2.weight,6.124390125274658
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.2060769647359848
1,test,loss,,12.025471687316895
1,train,accuracy,,1.0
1,test,accuracy,,0.00026102845210127906
1,general,weights_l2,layers.0.weight,46.01139831542969
1,general,weights_l2,layers.1.weight,49.07905960083008
1,general,weights_l2,layers.2.weight,40.29439163208008
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.003469120478257537
2,test,loss,,18.873701095581055
2,train,accuracy,,1.0
2,test,accuracy,,0.0005220569042025581
2,general,weights_l2,layers.0.weight,55.38279342651367
2,general,weights_l2,layers.1.weight,60.31293487548828
2,general,weights_l2,layers.2.weight,49.75205993652344
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.0001739745493978262
3,test,loss,,23.901046752929688
3,train,accuracy,,1.0
3,test,accuracy,,0.0005220569042025581
3,general,weights_l2,layers.0.weight,60.466880798339844
3,general,weights_l2,layers.1.weight,66.43636322021484
3,general,weights_l2,layers.2.weight,54.860774993896484
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.0197085430263542e-05
4,test,loss,,28.62126922607422
4,train,accuracy,,1.0
4,test,accuracy,,0.0006525711302531976
4,general,weights_l2,layers.0.weight,64.53376770019531
4,general,weights_l2,layers.1.weight,71.3442611694336
4,general,weights_l2,layers.2.weight,58.94371032714844
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,6.23450148395932e-07
5,test,loss,,33.13064956665039
5,train,accuracy,,1.0
5,test,accuracy,,0.0006525711302531976
5,general,weights_l2,layers.0.weight,68.00090789794922
5,general,weights_l2,layers.1.weight,75.54143524169922
5,general,weights_l2,layers.2.weight,62.42805480957031
5,train,zero_terms,,0.002153906402976307
5,train,softmax_collapse,,0.0013706677127629519
6,train,loss,,9.575022374974651e-08
6,test,loss,,37.050743103027344
6,train,accuracy,,1.0
6,test,accuracy,,0.0007830853563038371
