epoch,input_type,metric_name,layer,value
0,train,loss,,4.726676090855024
0,test,loss,,4.727728877447321
0,train,accuracy,,0.009790483649892304
0,test,accuracy,,0.0074393108848864525
0,general,weights_l2,layers.0.weight,8.173734664916992
0,general,weights_l2,layers.1.weight,8.17491626739502
0,general,weights_l2,layers.2.weight,6.124390125274658
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.20572275399651518
1,test,loss,,12.027046210278161
1,train,accuracy,,1.0
1,test,accuracy,,0.00026102845210127906
1,general,weights_l2,layers.0.weight,46.01301956176758
1,general,weights_l2,layers.1.weight,49.07709884643555
1,general,weights_l2,layers.2.weight,40.303016662597656
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0034606223297923614
2,test,loss,,18.879595863903894
2,train,accuracy,,1.0
2,test,accuracy,,0.00026102845210127906
2,general,weights_l2,layers.0.weight,55.382354736328125
2,general,weights_l2,layers.1.weight,60.29277801513672
2,general,weights_l2,layers.2.weight,49.7533073425293
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00017431854780720785
3,test,loss,,23.92581213415868
3,train,accuracy,,1.0
3,test,accuracy,,0.0005220569042025581
3,general,weights_l2,layers.0.weight,60.47441482543945
3,general,weights_l2,layers.1.weight,66.40892028808594
3,general,weights_l2,layers.2.weight,54.8636360168457
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,1.0209051938936006e-05
4,test,loss,,28.67257111195556
4,train,accuracy,,1.0
4,test,accuracy,,0.0006525711302531976
4,general,weights_l2,layers.0.weight,64.55795288085938
4,general,weights_l2,layers.1.weight,71.3254623413086
4,general,weights_l2,layers.2.weight,58.9547119140625
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,6.404076809711419e-07
5,test,loss,,33.24776838094964
5,train,accuracy,,1.0
5,test,accuracy,,0.0007830853563038371
5,general,weights_l2,layers.0.weight,68.05611419677734
5,general,weights_l2,layers.1.weight,75.54380798339844
5,general,weights_l2,layers.2.weight,62.45785903930664
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.1891847844101866e-08
6,test,loss,,37.68767224614448
6,train,accuracy,,1.0
6,test,accuracy,,0.00039154267815191856
6,general,weights_l2,layers.0.weight,71.1395263671875
6,general,weights_l2,layers.1.weight,79.26942443847656
6,general,weights_l2,layers.2.weight,65.54803466796875
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,2.8245556685284485e-09
7,test,loss,,42.04650682428576
7,train,accuracy,,1.0
7,test,accuracy,,0.0005220569042025581
7,general,weights_l2,layers.0.weight,73.91728973388672
7,general,weights_l2,layers.1.weight,82.62907409667969
7,general,weights_l2,layers.2.weight,68.3316879272461
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,1.949691473479261e-10
8,test,loss,,46.31803668653008
8,train,accuracy,,1.0
8,test,accuracy,,0.0007830853563038371
8,general,weights_l2,layers.0.weight,76.45457458496094
8,general,weights_l2,layers.1.weight,85.69976043701172
8,general,weights_l2,layers.2.weight,70.87446594238281
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,1.3703948838687089e-11
9,test,loss,,50.51569278246861
9,train,accuracy,,1.0
9,test,accuracy,,0.0009135995823544767
9,general,weights_l2,layers.0.weight,78.7990951538086
9,general,weights_l2,layers.1.weight,88.54023742675781
9,general,weights_l2,layers.2.weight,73.22515869140625
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,9.764132587114263e-13
