epoch,input_type,metric_name,layer,value
0,train,loss,,4.7186079025268555
0,test,loss,,4.731812953948975
0,train,accuracy,,0.017818680242803996
0,test,accuracy,,0.006264682850430697
0,general,weights_l2,layers.0.weight,8.366375923156738
0,general,weights_l2,layers.1.weight,8.407076835632324
0,general,weights_l2,layers.2.weight,6.310378074645996
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.489587783813477
1,test,loss,,4.925164222717285
1,train,accuracy,,0.05600156647738398
1,test,accuracy,,0.0005220569042025581
1,general,weights_l2,layers.0.weight,11.780474662780762
1,general,weights_l2,layers.1.weight,11.521940231323242
1,general,weights_l2,layers.2.weight,8.579086303710938
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.135706424713135
2,test,loss,,5.373798847198486
2,train,accuracy,,0.08067358527511259
2,test,accuracy,,0.0006525711302531976
2,general,weights_l2,layers.0.weight,16.164527893066406
2,general,weights_l2,layers.1.weight,15.028722763061523
2,general,weights_l2,layers.2.weight,10.972358703613281
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,3.836299180984497
3,test,loss,,5.503364562988281
3,train,accuracy,,0.15488545134129625
3,test,accuracy,,0.0006525711302531976
3,general,weights_l2,layers.0.weight,20.130159378051758
3,general,weights_l2,layers.1.weight,17.03218650817871
3,general,weights_l2,layers.2.weight,12.178486824035645
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,3.6043083667755127
4,test,loss,,5.513557434082031
4,train,accuracy,,0.23223027217544548
4,test,accuracy,,0.0007830853563038371
4,general,weights_l2,layers.0.weight,22.96196174621582
4,general,weights_l2,layers.1.weight,18.12717628479004
4,general,weights_l2,layers.2.weight,12.749516487121582
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.4243485927581787
5,test,loss,,5.452780723571777
5,train,accuracy,,0.2927354611317799
5,test,accuracy,,0.0007830853563038371
5,general,weights_l2,layers.0.weight,24.87213706970215
5,general,weights_l2,layers.1.weight,18.764066696166992
5,general,weights_l2,layers.2.weight,13.111750602722168
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,3.2585651874542236
6,test,loss,,5.310817241668701
6,train,accuracy,,0.3645976111219894
6,test,accuracy,,0.0014356564865570347
6,general,weights_l2,layers.0.weight,26.146732330322266
6,general,weights_l2,layers.1.weight,19.156965255737305
6,general,weights_l2,layers.2.weight,13.411589622497559
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,3.061922550201416
7,test,loss,,4.987478256225586
7,train,accuracy,,0.4386136675151753
7,test,accuracy,,0.0056121117201775
7,general,weights_l2,layers.0.weight,27.018007278442383
7,general,weights_l2,layers.1.weight,19.436363220214844
7,general,weights_l2,layers.2.weight,13.790125846862793
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,2.7417590618133545
8,test,loss,,4.342194080352783
8,train,accuracy,,0.5437634619150186
8,test,accuracy,,0.02427564604541895
8,general,weights_l2,layers.0.weight,27.639863967895508
8,general,weights_l2,layers.1.weight,19.73150062561035
8,general,weights_l2,layers.2.weight,14.392913818359375
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,2.2262356281280518
9,test,loss,,3.309117317199707
9,train,accuracy,,0.707460348541218
9,test,accuracy,,0.14121639258679197
9,general,weights_l2,layers.0.weight,28.372385025024414
9,general,weights_l2,layers.1.weight,20.273969650268555
9,general,weights_l2,layers.2.weight,15.241897583007812
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,1.4726860523223877
10,test,loss,,2.041130542755127
10,train,accuracy,,0.9218719404738595
10,test,accuracy,,0.6447402766901592
10,general,weights_l2,layers.0.weight,29.902587890625
10,general,weights_l2,layers.1.weight,21.36014747619629
10,general,weights_l2,layers.2.weight,16.420276641845703
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,0.7490037083625793
11,test,loss,,0.9841654896736145
11,train,accuracy,,0.9980419032700215
11,test,accuracy,,0.9821195510310624
11,general,weights_l2,layers.0.weight,32.28276443481445
11,general,weights_l2,layers.1.weight,22.87667465209961
11,general,weights_l2,layers.2.weight,17.799724578857422
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,0.3670816421508789
12,test,loss,,0.48958873748779297
12,train,accuracy,,1.0
12,test,accuracy,,0.9993474288697468
12,general,weights_l2,layers.0.weight,34.657081604003906
12,general,weights_l2,layers.1.weight,24.11809539794922
12,general,weights_l2,layers.2.weight,18.926523208618164
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,0.21092325448989868
