epoch,input_type,metric_name,layer,value
0,train,loss,,4.811596870422363
0,test,loss,,4.919665336608887
0,train,accuracy,,0.012727628744859996
0,test,accuracy,,0.006786739754633255
0,general,weights_l2,embedding.weight,121.07669067382812
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,13.863007545471191
0,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.01959591917693615
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,6.530460834503174
0,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.011313709430396557
0,general,weights_l2,transformer.layers.0.linear1.weight,26.147737503051758
0,general,weights_l2,transformer.layers.0.linear1.bias,2.2955880165100098
0,general,weights_l2,transformer.layers.0.linear2.weight,6.544549465179443
0,general,weights_l2,transformer.layers.0.linear2.bias,0.1429668515920639
0,general,weights_l2,transformer.layers.0.norm1.weight,11.313714981079102
0,general,weights_l2,transformer.layers.0.norm1.bias,0.011313709430396557
0,general,weights_l2,transformer.layers.0.norm2.weight,11.30239486694336
0,general,weights_l2,transformer.layers.0.norm2.bias,0.011313709430396557
0,general,weights_l2,linear.weight,6.13412618637085
0,general,weights_l2,linear.bias,0.5499570965766907
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.002480348339304328
1,test,loss,,9.056744575500488
1,train,accuracy,,1.0
1,test,accuracy,,0.00013051422605063953
1,general,weights_l2,embedding.weight,122.75711822509766
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_weight,20.054094314575195
1,general,weights_l2,transformer.layers.0.self_attn.in_proj_bias,0.992490828037262
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.weight,9.107763290405273
1,general,weights_l2,transformer.layers.0.self_attn.out_proj.bias,0.31728577613830566
1,general,weights_l2,transformer.layers.0.linear1.weight,37.304378509521484
1,general,weights_l2,transformer.layers.0.linear1.bias,3.2129976749420166
1,general,weights_l2,transformer.layers.0.linear2.weight,18.245576858520508
1,general,weights_l2,transformer.layers.0.linear2.bias,0.14316101372241974
1,general,weights_l2,transformer.layers.0.norm1.weight,11.229856491088867
1,general,weights_l2,transformer.layers.0.norm1.bias,0.40895479917526245
1,general,weights_l2,transformer.layers.0.norm2.weight,13.276555061340332
1,general,weights_l2,transformer.layers.0.norm2.bias,0.46113261580467224
1,general,weights_l2,linear.weight,17.67184066772461
1,general,weights_l2,linear.bias,0.5866686105728149
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.000178958143806085
2,test,loss,,10.408105850219727
2,train,accuracy,,1.0
2,test,accuracy,,0.00039154267815191856
