epoch,input_type,metric_name,layer,value
0,train,loss,,4.7223052978515625
0,test,loss,,4.729560375213623
0,train,accuracy,,0.019776776972782455
0,test,accuracy,,0.007308796658835813
0,general,weights_l2,layers.0.weight,8.201787948608398
0,general,weights_l2,layers.1.weight,8.231048583984375
0,general,weights_l2,layers.2.weight,6.1718525886535645
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.471166133880615
1,test,loss,,4.963278293609619
1,train,accuracy,,0.04836498923046798
1,test,accuracy,,0.0007830853563038371
1,general,weights_l2,layers.0.weight,10.99488639831543
1,general,weights_l2,layers.1.weight,11.305484771728516
1,general,weights_l2,layers.2.weight,8.503141403198242
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.119545936584473
2,test,loss,,5.319533348083496
2,train,accuracy,,0.08713530448404151
2,test,accuracy,,0.0005220569042025581
2,general,weights_l2,layers.0.weight,14.99788761138916
2,general,weights_l2,layers.1.weight,14.588887214660645
2,general,weights_l2,layers.2.weight,10.884577751159668
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,3.8886759281158447
3,test,loss,,5.33156156539917
3,train,accuracy,,0.15351478363031135
3,test,accuracy,,0.0007830853563038371
3,general,weights_l2,layers.0.weight,17.681987762451172
3,general,weights_l2,layers.1.weight,16.0982723236084
3,general,weights_l2,layers.2.weight,11.73267650604248
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,3.702934503555298
4,test,loss,,5.078240871429443
4,train,accuracy,,0.2179361660466027
4,test,accuracy,,0.001957713390759593
4,general,weights_l2,layers.0.weight,18.905691146850586
4,general,weights_l2,layers.1.weight,16.538549423217773
4,general,weights_l2,layers.2.weight,12.18717098236084
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,3.2972536087036133
5,test,loss,,4.041231155395508
5,train,accuracy,,0.3177990992755042
5,test,accuracy,,0.03523884103367267
5,general,weights_l2,layers.0.weight,18.846107482910156
5,general,weights_l2,layers.1.weight,16.1370849609375
5,general,weights_l2,layers.2.weight,13.341632843017578
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,2.5405466556549072
6,test,loss,,2.723649263381958
6,train,accuracy,,0.5504209907969454
6,test,accuracy,,0.3940224484468807
6,general,weights_l2,layers.0.weight,19.156015396118164
6,general,weights_l2,layers.1.weight,17.165719985961914
6,general,weights_l2,layers.2.weight,15.40060043334961
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,2.1016533374786377
7,test,loss,,2.2162442207336426
7,train,accuracy,,0.6847464264734678
7,test,accuracy,,0.6097624641085878
7,general,weights_l2,layers.0.weight,20.780105590820312
7,general,weights_l2,layers.1.weight,18.458362579345703
7,general,weights_l2,layers.2.weight,16.79458999633789
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,1.911591649055481
8,test,loss,,2.0167558193206787
8,train,accuracy,,0.7532798120227139
8,test,accuracy,,0.6827199164708954
8,general,weights_l2,layers.0.weight,22.03299331665039
8,general,weights_l2,layers.1.weight,19.21288299560547
8,general,weights_l2,layers.2.weight,17.35165023803711
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,1.8317887783050537
9,test,loss,,1.9345837831497192
9,train,accuracy,,0.78363031133738
9,test,accuracy,,0.7157400156617071
9,general,weights_l2,layers.0.weight,22.616567611694336
9,general,weights_l2,layers.1.weight,19.60940933227539
9,general,weights_l2,layers.2.weight,17.552200317382812
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,1.7870492935180664
10,test,loss,,1.8881163597106934
10,train,accuracy,,0.8069316624241237
10,test,accuracy,,0.7397546332550248
10,general,weights_l2,layers.0.weight,22.936641693115234
10,general,weights_l2,layers.1.weight,19.872543334960938
10,general,weights_l2,layers.2.weight,17.65506935119629
10,train,zero_terms,,0.0
10,train,softmax_collapse,,0.0
11,train,loss,,1.755336880683899
11,test,loss,,1.8556544780731201
11,train,accuracy,,0.8149598590170355
11,test,accuracy,,0.7449752022970504
11,general,weights_l2,layers.0.weight,23.161041259765625
11,general,weights_l2,layers.1.weight,20.073957443237305
11,general,weights_l2,layers.2.weight,17.72623062133789
11,train,zero_terms,,0.0
11,train,softmax_collapse,,0.0
12,train,loss,,1.7297420501708984
12,test,loss,,1.8298139572143555
12,train,accuracy,,0.8143724299980419
12,test,accuracy,,0.7474549725920125
12,general,weights_l2,layers.0.weight,23.345369338989258
12,general,weights_l2,layers.1.weight,20.240863800048828
12,general,weights_l2,layers.2.weight,17.78264808654785
12,train,zero_terms,,0.0
12,train,softmax_collapse,,0.0
13,train,loss,,1.7086381912231445
13,test,loss,,1.808599829673767
13,train,accuracy,,0.8247503426669277
13,test,accuracy,,0.7608979378752284
13,general,weights_l2,layers.0.weight,23.501113891601562
13,general,weights_l2,layers.1.weight,20.378589630126953
13,general,weights_l2,layers.2.weight,17.830551147460938
13,train,zero_terms,,0.0
13,train,softmax_collapse,,0.0
14,train,loss,,1.6914100646972656
14,test,loss,,1.7905712127685547
14,train,accuracy,,0.835911494027805
14,test,accuracy,,0.7731662751239885
14,general,weights_l2,layers.0.weight,23.62721061706543
14,general,weights_l2,layers.1.weight,20.492387771606445
14,general,weights_l2,layers.2.weight,17.872554779052734
14,train,zero_terms,,0.0
14,train,softmax_collapse,,0.0
15,train,loss,,1.6775306463241577
15,test,loss,,1.7763047218322754
15,train,accuracy,,0.8392402584687684
15,test,accuracy,,0.7790394152962673
15,general,weights_l2,layers.0.weight,23.730417251586914
15,general,weights_l2,layers.1.weight,20.584178924560547
15,general,weights_l2,layers.2.weight,17.905982971191406
15,train,zero_terms,,0.0
15,train,softmax_collapse,,0.0
16,train,loss,,1.6657911539077759
16,test,loss,,1.765529990196228
16,train,accuracy,,0.8357156843548071
16,test,accuracy,,0.7738188462542417
16,general,weights_l2,layers.0.weight,23.820716857910156
16,general,weights_l2,layers.1.weight,20.65998077392578
16,general,weights_l2,layers.2.weight,17.934804916381836
16,train,zero_terms,,0.0
16,train,softmax_collapse,,0.0
17,train,loss,,1.6559749841690063
17,test,loss,,1.7554796934127808
17,train,accuracy,,0.8370863520657921
17,test,accuracy,,0.7760375880971025
17,general,weights_l2,layers.0.weight,23.89874267578125
17,general,weights_l2,layers.1.weight,20.71953582763672
17,general,weights_l2,layers.2.weight,17.95952033996582
17,train,zero_terms,,0.0
17,train,softmax_collapse,,0.0
18,train,loss,,1.6475540399551392
18,test,loss,,1.7466613054275513
18,train,accuracy,,0.8361073037008028
18,test,accuracy,,0.7772122161315583
18,general,weights_l2,layers.0.weight,23.96628189086914
18,general,weights_l2,layers.1.weight,20.769142150878906
18,general,weights_l2,layers.2.weight,17.98213768005371
18,train,zero_terms,,0.0
18,train,softmax_collapse,,0.0
19,train,loss,,1.6403560638427734
19,test,loss,,1.7393743991851807
19,train,accuracy,,0.8447229293127081
19,test,accuracy,,0.787131297311407
19,general,weights_l2,layers.0.weight,24.027442932128906
19,general,weights_l2,layers.1.weight,20.81081771850586
19,general,weights_l2,layers.2.weight,18.00196075439453
19,train,zero_terms,,0.0
19,train,softmax_collapse,,0.0
20,train,loss,,1.6340299844741821
20,test,loss,,1.733626365661621
20,train,accuracy,,0.852359506559624
20,test,accuracy,,0.7953536935525972
20,general,weights_l2,layers.0.weight,24.08115577697754
20,general,weights_l2,layers.1.weight,20.847410202026367
20,general,weights_l2,layers.2.weight,18.018938064575195
20,train,zero_terms,,0.0
20,train,softmax_collapse,,0.0
21,train,loss,,1.6285711526870728
21,test,loss,,1.7275581359863281
21,train,accuracy,,0.8533385549246133
21,test,accuracy,,0.7963978073610023
21,general,weights_l2,layers.0.weight,24.131885528564453
21,general,weights_l2,layers.1.weight,20.874231338500977
21,general,weights_l2,layers.2.weight,18.035160064697266
21,train,zero_terms,,0.0
21,train,softmax_collapse,,0.0
22,train,loss,,1.6237956285476685
22,test,loss,,1.7226110696792603
22,train,accuracy,,0.8547092226355982
22,test,accuracy,,0.7997911772383189
22,general,weights_l2,layers.0.weight,24.177757263183594
22,general,weights_l2,layers.1.weight,20.896190643310547
22,general,weights_l2,layers.2.weight,18.04775619506836
22,train,zero_terms,,0.0
22,train,softmax_collapse,,0.0
23,train,loss,,1.619486689567566
23,test,loss,,1.718792200088501
23,train,accuracy,,0.8558840806735852
23,test,accuracy,,0.8003132341425215
23,general,weights_l2,layers.0.weight,24.223203659057617
23,general,weights_l2,layers.1.weight,20.913997650146484
23,general,weights_l2,layers.2.weight,18.06106185913086
23,train,zero_terms,,0.0
23,train,softmax_collapse,,0.0
24,train,loss,,1.6154879331588745
24,test,loss,,1.71513831615448
24,train,accuracy,,0.861366751517525
24,test,accuracy,,0.8026624902114331
24,general,weights_l2,layers.0.weight,24.26422691345215
24,general,weights_l2,layers.1.weight,20.928083419799805
24,general,weights_l2,layers.2.weight,18.073482513427734
24,train,zero_terms,,0.0
24,train,softmax_collapse,,0.0
