epoch,input_type,metric_name,layer,value
0,train,loss,,4.727028269255682
0,test,loss,,4.727616334016102
0,train,accuracy,,0.009203054630898766
0,test,accuracy,,0.0074393108848864525
0,general,weights_l2,layers.0.weight,8.173326741019604
0,general,weights_l2,layers.1.weight,8.174480846055896
0,general,weights_l2,layers.2.weight,6.123183685582166
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,4.7015919312990055
1,test,loss,,4.751721104047683
1,train,accuracy,,0.01664382220481692
1,test,accuracy,,0.005742625946228139
1,general,weights_l2,layers.0.weight,8.317710308591971
1,general,weights_l2,layers.1.weight,8.310470554584423
1,general,weights_l2,layers.2.weight,6.311478224587513
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,4.6254434422995265
2,test,loss,,4.802487347432557
2,train,accuracy,,0.035833170158605834
2,test,accuracy,,0.0018271991647089533
2,general,weights_l2,layers.0.weight,8.960139849257155
2,general,weights_l2,layers.1.weight,8.819639534827354
2,general,weights_l2,layers.2.weight,7.0532740125238105
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,4.440011334891763
3,test,loss,,4.958744807200466
3,train,accuracy,,0.03348345408263168
3,test,accuracy,,0.0016966849386583138
3,general,weights_l2,layers.0.weight,11.038334239345318
3,general,weights_l2,layers.1.weight,10.874525880573175
3,general,weights_l2,layers.2.weight,8.996231546322374
3,train,zero_terms,,0.0
3,train,softmax_collapse,,0.0
4,train,loss,,4.370924077653593
4,test,loss,,4.976712247309169
4,train,accuracy,,0.04092422165654983
4,test,accuracy,,0.0016966849386583138
4,general,weights_l2,layers.0.weight,12.445379012790134
4,general,weights_l2,layers.1.weight,11.447315034607922
4,general,weights_l2,layers.2.weight,9.467344823932931
4,train,zero_terms,,0.0
4,train,softmax_collapse,,0.0
5,train,loss,,4.338386155955448
5,test,loss,,4.972071223217038
5,train,accuracy,,0.04836498923046798
5,test,accuracy,,0.0023492560689115116
5,general,weights_l2,layers.0.weight,13.002966357422768
5,general,weights_l2,layers.1.weight,11.672394386980555
5,general,weights_l2,layers.2.weight,9.730793191677442
5,train,zero_terms,,0.0
5,train,softmax_collapse,,0.0
6,train,loss,,4.218476720039768
6,test,loss,,4.746066473999235
6,train,accuracy,,0.06383395339729783
6,test,accuracy,,0.0056121117201775
6,general,weights_l2,layers.0.weight,13.820193062362522
6,general,weights_l2,layers.1.weight,12.073128568920676
6,general,weights_l2,layers.2.weight,10.286444347468368
6,train,zero_terms,,0.0
6,train,softmax_collapse,,0.0
7,train,loss,,3.951536539981206
7,test,loss,,4.228776751188011
7,train,accuracy,,0.09496769140395536
7,test,accuracy,,0.012268337248760116
7,general,weights_l2,layers.0.weight,16.16620621972731
7,general,weights_l2,layers.1.weight,13.367497520936205
7,general,weights_l2,layers.2.weight,11.523205862251775
7,train,zero_terms,,0.0
7,train,softmax_collapse,,0.0
8,train,loss,,3.86498275505873
8,test,loss,,4.1892085163558
8,train,accuracy,,0.09340121401997259
8,test,accuracy,,0.01370399373531715
8,general,weights_l2,layers.0.weight,17.3167503093795
8,general,weights_l2,layers.1.weight,14.25185405150318
8,general,weights_l2,layers.2.weight,12.406727546315611
8,train,zero_terms,,0.0
8,train,softmax_collapse,,0.0
9,train,loss,,3.7716746081852315
9,test,loss,,4.19563952473186
9,train,accuracy,,0.10417074603485413
9,test,accuracy,,0.015139650221874185
9,general,weights_l2,layers.0.weight,18.518909012869848
9,general,weights_l2,layers.1.weight,15.463916762366665
9,general,weights_l2,layers.2.weight,13.9630460648722
9,train,zero_terms,,0.0
9,train,softmax_collapse,,0.0
10,train,loss,,3.6897568687351368
10,test,loss,,4.269897650734169
10,train,accuracy,,0.10045036224789504
10,test,accuracy,,0.016966849386583136
10,general,weights_l2,layers.0.weight,20.200443725215482
10,general,weights_l2,layers.1.weight,17.154497746101466
10,general,weights_l2,layers.2.weight,15.99722768881241
