epoch,input_type,metric_name,layer,value
0,train,loss,,4.7185922814181485
0,test,loss,,4.731817133621874
0,train,accuracy,,0.017818680242803996
0,test,accuracy,,0.006264682850430697
0,general,weights_l2,layers.0.weight,8.435774803161621
0,general,weights_l2,layers.1.weight,8.413025856018066
0,general,weights_l2,layers.2.weight,6.320567607879639
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,3.837280340095641e-15
1,test,loss,,67.85108924772591
1,train,accuracy,,1.0
1,test,accuracy,,0.0011746280344557558
1,general,weights_l2,layers.0.weight,118.02423858642578
1,general,weights_l2,layers.1.weight,95.02638244628906
1,general,weights_l2,layers.2.weight,58.78574752807617
1,train,zero_terms,,0.00019580967299784609
1,train,softmax_collapse,,0.0003916193381883204
2,train,loss,,1.0444452126036101e-12
2,test,loss,,80.9327074864575
2,train,accuracy,,1.0
2,test,accuracy,,0.0020882276168102325
2,general,weights_l2,layers.0.weight,133.37051391601562
2,general,weights_l2,layers.1.weight,104.73458099365234
2,general,weights_l2,layers.2.weight,65.40853118896484
2,train,zero_terms,,0.08419815938907382
2,train,softmax_collapse,,0.08341491967439651
3,train,loss,,6.104754578761369e-11
3,test,loss,,96.2140234165302
3,train,accuracy,,1.0
3,test,accuracy,,0.0028713129731140694
3,general,weights_l2,layers.0.weight,158.02259826660156
3,general,weights_l2,layers.1.weight,108.5508041381836
3,general,weights_l2,layers.2.weight,69.66937255859375
3,train,zero_terms,,0.4534952026630116
3,train,softmax_collapse,,0.45349520444869995
4,train,loss,,2.1864930525361537e-08
4,test,loss,,108.82597333411101
4,train,accuracy,,1.0
4,test,accuracy,,0.002218741842860872
4,general,weights_l2,layers.0.weight,168.70790100097656
4,general,weights_l2,layers.1.weight,112.50043487548828
4,general,weights_l2,layers.2.weight,71.05252075195312
4,train,zero_terms,,0.5748971999216761
4,train,softmax_collapse,,0.5748971700668335
5,train,loss,,2.0434886296213955e-18
5,test,loss,,107.12636761602572
5,train,accuracy,,1.0
5,test,accuracy,,0.0020882276168102325
5,general,weights_l2,layers.0.weight,169.33029174804688
5,general,weights_l2,layers.1.weight,113.35784149169922
5,general,weights_l2,layers.2.weight,71.33718872070312
5,train,zero_terms,,0.9907969453691012
5,train,softmax_collapse,,0.9823771119117737
6,train,loss,,2.4042730689532563e-15
6,test,loss,,116.65234994301677
6,train,accuracy,,1.0
6,test,accuracy,,0.0033933698773166276
6,general,weights_l2,layers.0.weight,178.8292236328125
6,general,weights_l2,layers.1.weight,117.41781616210938
6,general,weights_l2,layers.2.weight,72.25972747802734
6,train,zero_terms,,0.7466222831407872
6,train,softmax_collapse,,0.7466222643852234
7,train,loss,,2.6663171376438897e-12
7,test,loss,,130.48071042430163
7,train,accuracy,,1.0
7,test,accuracy,,0.0033933698773166276
7,general,weights_l2,layers.0.weight,190.77024841308594
7,general,weights_l2,layers.1.weight,123.15499114990234
7,general,weights_l2,layers.2.weight,73.4094467163086
7,train,zero_terms,,0.7810847855884081
7,train,softmax_collapse,,0.7812805771827698
8,train,loss,,4.0774838050638684e-09
8,test,loss,,139.91411458616898
8,train,accuracy,,1.0
8,test,accuracy,,0.004829026363873662
8,general,weights_l2,layers.0.weight,201.04891967773438
8,general,weights_l2,layers.1.weight,126.67044830322266
8,general,weights_l2,layers.2.weight,74.54814910888672
8,train,zero_terms,,0.810456236538085
8,train,softmax_collapse,,0.8104562163352966
9,train,loss,,1.304354444439189e-19
9,test,loss,,136.63126825470124
9,train,accuracy,,1.0
9,test,accuracy,,0.004306969459671104
9,general,weights_l2,layers.0.weight,201.3612823486328
9,general,weights_l2,layers.1.weight,127.00212860107422
9,general,weights_l2,layers.2.weight,74.62812805175781
9,train,zero_terms,,0.9994125709810064
9,train,softmax_collapse,,0.9990209341049194
10,train,loss,,6.867860934787107e-16
10,test,loss,,145.12843181894078
10,train,accuracy,,1.0
10,test,accuracy,,0.00548159749412686
10,general,weights_l2,layers.0.weight,208.30221557617188
10,general,weights_l2,layers.1.weight,129.1258544921875
10,general,weights_l2,layers.2.weight,75.6023178100586
10,train,zero_terms,,0.8862345799882514
10,train,softmax_collapse,,0.8860387802124023
11,train,loss,,1.1535354617675404e-12
11,test,loss,,155.84705982896932
11,train,accuracy,,1.0
11,test,accuracy,,0.006003654398329418
11,general,weights_l2,layers.0.weight,216.18275451660156
11,general,weights_l2,layers.1.weight,132.7438507080078
11,general,weights_l2,layers.2.weight,76.87479400634766
11,train,zero_terms,,0.8764440963383591
11,train,softmax_collapse,,0.8760524392127991
12,train,loss,,2.8969885723014472e-09
12,test,loss,,172.32468338578352
12,train,accuracy,,1.0
12,test,accuracy,,0.006134168624380058
