epoch,input_type,metric_name,layer,value
0,train,loss,,0.8535038398665635
0,test,loss,,0.8521945905068903
0,train,accuracy,,0.477
0,test,accuracy,,0.485
0,general,weights_l2,layers.0.weight,8.241772651672363
0,general,weights_l2,layers.0.bias,1.2335923910140991
0,general,weights_l2,layers.1.weight,8.398642539978027
0,general,weights_l2,layers.1.bias,0.5677780508995056
0,general,weights_l2,layers.2.weight,0.820523202419281
0,general,weights_l2,layers.2.bias,0.05016607046127319
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,8.189031905026947e-06
1,test,loss,,3.01420563782282
1,train,accuracy,,1.0
1,test,accuracy,,0.675
1,general,weights_l2,layers.0.weight,16.61001205444336
1,general,weights_l2,layers.0.bias,1.6857575178146362
1,general,weights_l2,layers.1.weight,96.69757080078125
1,general,weights_l2,layers.1.bias,1.945107102394104
1,general,weights_l2,layers.2.weight,18.531557083129883
1,general,weights_l2,layers.2.bias,0.20734448730945587
1,train,zero_terms,,0.0
1,train,softmax_collapse,,1.0
2,train,loss,,8.749713664583507e-07
2,test,loss,,1.7236272222815052
2,train,accuracy,,1.0
2,test,accuracy,,0.837
2,general,weights_l2,layers.0.weight,20.303985595703125
2,general,weights_l2,layers.0.bias,3.224724769592285
2,general,weights_l2,layers.1.weight,137.8678436279297
2,general,weights_l2,layers.1.bias,2.3470919132232666
2,general,weights_l2,layers.2.weight,26.24028968811035
2,general,weights_l2,layers.2.bias,0.20723852515220642
2,train,zero_terms,,0.0
2,train,softmax_collapse,,1.0
3,train,loss,,1.1479160929819702e-07
3,test,loss,,0.5581980392641912
3,train,accuracy,,1.0
3,test,accuracy,,0.954
3,general,weights_l2,layers.0.weight,25.432235717773438
3,general,weights_l2,layers.0.bias,6.244513511657715
3,general,weights_l2,layers.1.weight,192.79397583007812
3,general,weights_l2,layers.1.bias,2.713907480239868
3,general,weights_l2,layers.2.weight,35.685760498046875
3,general,weights_l2,layers.2.bias,0.20715317130088806
3,train,zero_terms,,0.0
3,train,softmax_collapse,,1.0
4,train,loss,,1.424483576880658e-08
4,test,loss,,0.19112711238823357
4,train,accuracy,,1.0
4,test,accuracy,,0.987
4,general,weights_l2,layers.0.weight,32.34941482543945
4,general,weights_l2,layers.0.bias,10.431632041931152
4,general,weights_l2,layers.1.weight,285.4383850097656
4,general,weights_l2,layers.1.bias,3.102241039276123
4,general,weights_l2,layers.2.weight,48.783756256103516
4,general,weights_l2,layers.2.bias,0.20715317130088806
4,train,zero_terms,,0.0
4,train,softmax_collapse,,1.0
5,train,loss,,2.0478519235186576e-09
5,test,loss,,0.14915369927198713
5,train,accuracy,,1.0
5,test,accuracy,,0.991
5,general,weights_l2,layers.0.weight,41.82979202270508
5,general,weights_l2,layers.0.bias,15.809803009033203
5,general,weights_l2,layers.1.weight,388.34423828125
5,general,weights_l2,layers.1.bias,3.502852439880371
5,general,weights_l2,layers.2.weight,67.61842346191406
5,general,weights_l2,layers.2.bias,0.20715317130088806
5,train,zero_terms,,0.0
5,train,softmax_collapse,,1.0
6,train,loss,,3.172658569782191e-10
6,test,loss,,0.11171076679562804
6,train,accuracy,,1.0
6,test,accuracy,,0.993
