epoch,input_type,metric_name,layer,value
0,train,loss,,4.727502822875977
0,test,loss,,4.727524757385254
0,train,accuracy,,0.007129094412331407
0,test,accuracy,,0.007047768206734534
0,general,weights_l2,_module.layers.0.weight,8.193621635437012
0,general,weights_l2,_module.layers.1.weight,8.193235397338867
0,general,weights_l2,_module.layers.2.weight,6.132834434509277
0,general,grad_l2_norm,_module.layers.0.weight,0.01473955623805523
0,general,grad_l2_norm,_module.layers.1.weight,0.014572801999747753
0,general,grad_l2_norm,_module.layers.2.weight,0.014647480100393295
0,general,grad_cosine_similarity,_module.layers.0.weight,-0.0023653607349842787
0,general,grad_cosine_similarity,_module.layers.1.weight,-0.0023925399873405695
0,general,grad_cosine_similarity,_module.layers.2.weight,-0.003180047031491995
0,general,abs_grad_l1_norm,_module.layers.0.weight,1.9034066200256348
0,general,abs_grad_l1_norm,_module.layers.1.weight,2.1929779052734375
0,general,abs_grad_l1_norm,_module.layers.2.weight,1.5090852975845337
0,general,zero_grad_percentage,_module.layers.0.weight,0.3741592764854431
0,general,zero_grad_percentage,_module.layers.1.weight,0.0
0,general,zero_grad_percentage,_module.layers.2.weight,0.0
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
500,train,loss,,4.723471164703369
500,test,loss,,4.7301483154296875
500,train,accuracy,,0.011586096683979225
500,test,accuracy,,0.0074393108848864525
500,general,weights_l2,_module.layers.0.weight,13.404378890991211
500,general,weights_l2,_module.layers.1.weight,12.88653564453125
500,general,weights_l2,_module.layers.2.weight,9.618359565734863
500,general,grad_l2_norm,_module.layers.0.weight,0.039497073739767075
500,general,grad_l2_norm,_module.layers.1.weight,0.03947390615940094
500,general,grad_l2_norm,_module.layers.2.weight,0.04034390673041344
500,general,grad_cosine_similarity,_module.layers.0.weight,-0.004646888002753258
500,general,grad_cosine_similarity,_module.layers.1.weight,-0.004836459644138813
500,general,grad_cosine_similarity,_module.layers.2.weight,-0.006340079475194216
500,general,abs_grad_l1_norm,_module.layers.0.weight,4.869707107543945
500,general,abs_grad_l1_norm,_module.layers.1.weight,6.007552623748779
500,general,abs_grad_l1_norm,_module.layers.2.weight,4.210667133331299
500,general,zero_grad_percentage,_module.layers.0.weight,0.433915913105011
500,general,zero_grad_percentage,_module.layers.1.weight,0.00019999999494757503
500,general,zero_grad_percentage,_module.layers.2.weight,0.0
500,train,zero_terms,,0.0
500,train,softmax_collapse,,0.0
1000,train,loss,,4.714174747467041
1000,test,loss,,4.739937782287598
1000,train,accuracy,,0.013635452175656707
1000,test,accuracy,,0.005873140172278779
1000,general,weights_l2,_module.layers.0.weight,17.114389419555664
1000,general,weights_l2,_module.layers.1.weight,16.29656410217285
1000,general,weights_l2,_module.layers.2.weight,12.30289077758789
1000,general,grad_l2_norm,_module.layers.0.weight,0.059151940047740936
1000,general,grad_l2_norm,_module.layers.1.weight,0.05733756721019745
1000,general,grad_l2_norm,_module.layers.2.weight,0.06095636636018753
1000,general,grad_cosine_similarity,_module.layers.0.weight,-0.017881294712424278
1000,general,grad_cosine_similarity,_module.layers.1.weight,-0.01937287673354149
1000,general,grad_cosine_similarity,_module.layers.2.weight,-0.024138102307915688
1000,general,abs_grad_l1_norm,_module.layers.0.weight,7.558619499206543
1000,general,abs_grad_l1_norm,_module.layers.1.weight,8.726299285888672
1000,general,abs_grad_l1_norm,_module.layers.2.weight,6.334538459777832
1000,general,zero_grad_percentage,_module.layers.0.weight,0.38909292221069336
1000,general,zero_grad_percentage,_module.layers.1.weight,0.0031999999191612005
1000,general,zero_grad_percentage,_module.layers.2.weight,0.0
1000,train,zero_terms,,0.0
1000,train,softmax_collapse,,0.0
1500,train,loss,,4.709197044372559
1500,test,loss,,4.753252983093262
1500,train,accuracy,,0.011550509005481598
1500,test,accuracy,,0.005742625946228139
1500,general,weights_l2,_module.layers.0.weight,20.104440689086914
1500,general,weights_l2,_module.layers.1.weight,19.153846740722656
1500,general,weights_l2,_module.layers.2.weight,14.4782133102417
1500,general,grad_l2_norm,_module.layers.0.weight,0.08148197829723358
1500,general,grad_l2_norm,_module.layers.1.weight,0.0763106420636177
1500,general,grad_l2_norm,_module.layers.2.weight,0.0820343941450119
1500,general,grad_cosine_similarity,_module.layers.0.weight,5.095853339298628e-05
1500,general,grad_cosine_similarity,_module.layers.1.weight,5.71125783608295e-05
1500,general,grad_cosine_similarity,_module.layers.2.weight,7.028410618659109e-05
1500,general,abs_grad_l1_norm,_module.layers.0.weight,10.602694511413574
1500,general,abs_grad_l1_norm,_module.layers.1.weight,11.67106819152832
1500,general,abs_grad_l1_norm,_module.layers.2.weight,8.611640930175781
1500,general,zero_grad_percentage,_module.layers.0.weight,0.365221232175827
1500,general,zero_grad_percentage,_module.layers.1.weight,7.499999628635123e-05
1500,general,zero_grad_percentage,_module.layers.2.weight,0.0
1500,train,zero_terms,,0.0
1500,train,softmax_collapse,,0.0
2000,train,loss,,4.697240829467773
2000,test,loss,,4.767690181732178
2000,train,accuracy,,0.013580003936233025
2000,test,accuracy,,0.005742625946228139
2000,general,weights_l2,_module.layers.0.weight,22.70711898803711
2000,general,weights_l2,_module.layers.1.weight,21.526504516601562
2000,general,weights_l2,_module.layers.2.weight,16.309179306030273
2000,general,grad_l2_norm,_module.layers.0.weight,0.10348628461360931
2000,general,grad_l2_norm,_module.layers.1.weight,0.10033273696899414
2000,general,grad_l2_norm,_module.layers.2.weight,0.10396751761436462
2000,general,grad_cosine_similarity,_module.layers.0.weight,-0.007032359018921852
2000,general,grad_cosine_similarity,_module.layers.1.weight,-0.007651202380657196
2000,general,grad_cosine_similarity,_module.layers.2.weight,-0.009745766408741474
2000,general,abs_grad_l1_norm,_module.layers.0.weight,13.245521545410156
2000,general,abs_grad_l1_norm,_module.layers.1.weight,15.330894470214844
2000,general,abs_grad_l1_norm,_module.layers.2.weight,11.087611198425293
2000,general,zero_grad_percentage,_module.layers.0.weight,0.38243362307548523
2000,general,zero_grad_percentage,_module.layers.1.weight,0.00017499999376013875
2000,general,zero_grad_percentage,_module.layers.2.weight,0.0
2000,train,zero_terms,,0.0
2000,train,softmax_collapse,,0.0
2500,train,loss,,4.685503959655762
2500,test,loss,,4.786071300506592
2500,train,accuracy,,0.017067494181536073
2500,test,accuracy,,0.006134168624380058
2500,general,weights_l2,_module.layers.0.weight,25.12458610534668
2500,general,weights_l2,_module.layers.1.weight,23.744667053222656
2500,general,weights_l2,_module.layers.2.weight,17.93735122680664
2500,general,grad_l2_norm,_module.layers.0.weight,0.13148176670074463
2500,general,grad_l2_norm,_module.layers.1.weight,0.13051949441432953
2500,general,grad_l2_norm,_module.layers.2.weight,0.1302586793899536
2500,general,grad_cosine_similarity,_module.layers.0.weight,-0.0026567622553557158
2500,general,grad_cosine_similarity,_module.layers.1.weight,-0.002831886289641261
2500,general,grad_cosine_similarity,_module.layers.2.weight,-0.0037562325596809387
2500,general,abs_grad_l1_norm,_module.layers.0.weight,16.866432189941406
2500,general,abs_grad_l1_norm,_module.layers.1.weight,20.04409408569336
2500,general,abs_grad_l1_norm,_module.layers.2.weight,13.798246383666992
2500,general,zero_grad_percentage,_module.layers.0.weight,0.3886725604534149
2500,general,zero_grad_percentage,_module.layers.1.weight,0.0
2500,general,zero_grad_percentage,_module.layers.2.weight,0.0
