epoch,input_type,metric_name,layer,value
0,train,loss,,4.723845858501473
0,test,loss,,4.729072316271749
0,train,accuracy,,0.01707221350078493
0,test,accuracy,,0.006264682850430697
0,general,weights_l2,_module.layers.0.weight,8.237340927124023
0,general,weights_l2,_module.layers.1.weight,8.238903045654297
0,general,weights_l2,_module.layers.2.weight,6.2091593742370605
0,general,grad_l2_norm,_module.layers.0.weight,0.021793875843286514
0,general,grad_l2_norm,_module.layers.1.weight,0.019612256437540054
0,general,grad_l2_norm,_module.layers.2.weight,0.023200571537017822
0,general,grad_cosine_similarity,_module.layers.0.weight,-0.013457803055644035
0,general,grad_cosine_similarity,_module.layers.1.weight,-0.01495197881013155
0,general,grad_cosine_similarity,_module.layers.2.weight,-0.01677119918167591
0,general,abs_grad_l1_norm,_module.layers.0.weight,2.3683509826660156
0,general,abs_grad_l1_norm,_module.layers.1.weight,2.965333938598633
0,general,abs_grad_l1_norm,_module.layers.2.weight,2.3027443885803223
0,general,zero_grad_percentage,_module.layers.0.weight,0.5680088400840759
0,general,zero_grad_percentage,_module.layers.1.weight,0.0035749999806284904
0,general,zero_grad_percentage,_module.layers.2.weight,0.0
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
500,train,loss,,9.108921329580204e-09
500,test,loss,,41.27032249457702
500,train,accuracy,,1.0
500,test,accuracy,,0.0016966849386583138
500,general,weights_l2,_module.layers.0.weight,67.3990478515625
500,general,weights_l2,_module.layers.1.weight,96.86872863769531
500,general,weights_l2,_module.layers.2.weight,59.24495315551758
500,general,grad_l2_norm,_module.layers.0.weight,7.067946938832392e-08
500,general,grad_l2_norm,_module.layers.1.weight,2.0435070524627008e-08
500,general,grad_l2_norm,_module.layers.2.weight,4.87549911554197e-08
500,general,grad_cosine_similarity,_module.layers.0.weight,-0.036782775074243546
500,general,grad_cosine_similarity,_module.layers.1.weight,-0.08851805329322815
500,general,grad_cosine_similarity,_module.layers.2.weight,-0.060662612318992615
500,general,abs_grad_l1_norm,_module.layers.0.weight,7.1142885644803755e-06
500,general,abs_grad_l1_norm,_module.layers.1.weight,3.231543360016076e-06
500,general,abs_grad_l1_norm,_module.layers.2.weight,5.546913598664105e-06
500,general,zero_grad_percentage,_module.layers.0.weight,0.5925663709640503
500,general,zero_grad_percentage,_module.layers.1.weight,0.0
500,general,zero_grad_percentage,_module.layers.2.weight,0.0
500,train,zero_terms,,0.0
500,train,softmax_collapse,,0.0
1000,train,loss,,2.3829611651120473e-09
1000,test,loss,,43.52851866654575
1000,train,accuracy,,1.0
1000,test,accuracy,,0.0016966849386583138
1000,general,weights_l2,_module.layers.0.weight,68.70104217529297
1000,general,weights_l2,_module.layers.1.weight,97.79009246826172
1000,general,weights_l2,_module.layers.2.weight,60.72442626953125
1000,general,grad_l2_norm,_module.layers.0.weight,2.006131261111932e-08
1000,general,grad_l2_norm,_module.layers.1.weight,6.102711225253188e-09
1000,general,grad_l2_norm,_module.layers.2.weight,1.4696216688037111e-08
1000,general,grad_cosine_similarity,_module.layers.0.weight,-0.036436885595321655
1000,general,grad_cosine_similarity,_module.layers.1.weight,-0.08414846658706665
1000,general,grad_cosine_similarity,_module.layers.2.weight,-0.05627233162522316
1000,general,abs_grad_l1_norm,_module.layers.0.weight,1.973915686903638e-06
1000,general,abs_grad_l1_norm,_module.layers.1.weight,9.65274011832662e-07
1000,general,abs_grad_l1_norm,_module.layers.2.weight,1.5752638091726112e-06
1000,general,zero_grad_percentage,_module.layers.0.weight,0.6184512972831726
1000,general,zero_grad_percentage,_module.layers.1.weight,0.0
1000,general,zero_grad_percentage,_module.layers.2.weight,0.0
1000,train,zero_terms,,0.0
1000,train,softmax_collapse,,0.0
1500,train,loss,,1.3407338589176788e-09
1500,test,loss,,44.50091538253045
1500,train,accuracy,,1.0
1500,test,accuracy,,0.0018271991647089533
1500,general,weights_l2,_module.layers.0.weight,69.2488784790039
1500,general,weights_l2,_module.layers.1.weight,98.17802429199219
1500,general,weights_l2,_module.layers.2.weight,61.3448371887207
1500,general,grad_l2_norm,_module.layers.0.weight,1.1875949113004935e-08
1500,general,grad_l2_norm,_module.layers.1.weight,3.4188674113977413e-09
1500,general,grad_l2_norm,_module.layers.2.weight,7.971552307139973e-09
1500,general,grad_cosine_similarity,_module.layers.0.weight,-0.03519730269908905
1500,general,grad_cosine_similarity,_module.layers.1.weight,-0.08623705059289932
1500,general,grad_cosine_similarity,_module.layers.2.weight,-0.05919288471341133
1500,general,abs_grad_l1_norm,_module.layers.0.weight,1.150966227214667e-06
1500,general,abs_grad_l1_norm,_module.layers.1.weight,5.421612740974524e-07
1500,general,abs_grad_l1_norm,_module.layers.2.weight,8.988928357211989e-07
1500,general,zero_grad_percentage,_module.layers.0.weight,0.641747772693634
1500,general,zero_grad_percentage,_module.layers.1.weight,0.0
1500,general,zero_grad_percentage,_module.layers.2.weight,0.0
1500,train,zero_terms,,0.0
1500,train,softmax_collapse,,0.0
2000,train,loss,,9.289911491918287e-10
2000,test,loss,,45.12567964822516
2000,train,accuracy,,1.0
2000,test,accuracy,,0.0018271991647089533
2000,general,weights_l2,_module.layers.0.weight,69.5985336303711
2000,general,weights_l2,_module.layers.1.weight,98.42637634277344
2000,general,weights_l2,_module.layers.2.weight,61.740577697753906
2000,general,grad_l2_norm,_module.layers.0.weight,8.197988954350421e-09
2000,general,grad_l2_norm,_module.layers.1.weight,2.3349380207093873e-09
2000,general,grad_l2_norm,_module.layers.2.weight,5.060143415391849e-09
2000,general,grad_cosine_similarity,_module.layers.0.weight,-0.03751133009791374
2000,general,grad_cosine_similarity,_module.layers.1.weight,-0.09312859177589417
2000,general,grad_cosine_similarity,_module.layers.2.weight,-0.06850722432136536
2000,general,abs_grad_l1_norm,_module.layers.0.weight,8.228205388149945e-07
2000,general,abs_grad_l1_norm,_module.layers.1.weight,3.694729571179778e-07
2000,general,abs_grad_l1_norm,_module.layers.2.weight,5.707122454623459e-07
2000,general,zero_grad_percentage,_module.layers.0.weight,0.6034513115882874
2000,general,zero_grad_percentage,_module.layers.1.weight,0.0
2000,general,zero_grad_percentage,_module.layers.2.weight,0.0
2000,train,zero_terms,,0.0
2000,train,softmax_collapse,,0.0
2500,train,loss,,7.005744826514301e-10
2500,test,loss,,45.58582600939007
2500,train,accuracy,,1.0
2500,test,accuracy,,0.0018271991647089533
2500,general,weights_l2,_module.layers.0.weight,69.8544692993164
2500,general,weights_l2,_module.layers.1.weight,98.60871124267578
2500,general,weights_l2,_module.layers.2.weight,62.030338287353516
2500,general,grad_l2_norm,_module.layers.0.weight,5.859769114380242e-09
2500,general,grad_l2_norm,_module.layers.1.weight,1.8071669716235306e-09
2500,general,grad_l2_norm,_module.layers.2.weight,3.710505236398376e-09
2500,general,grad_cosine_similarity,_module.layers.0.weight,-0.03898672014474869
2500,general,grad_cosine_similarity,_module.layers.1.weight,-0.08955252170562744
2500,general,grad_cosine_similarity,_module.layers.2.weight,-0.06933526694774628
2500,general,abs_grad_l1_norm,_module.layers.0.weight,6.074772613828827e-07
2500,general,abs_grad_l1_norm,_module.layers.1.weight,2.8522936190711334e-07
2500,general,abs_grad_l1_norm,_module.layers.2.weight,4.286703756406496e-07
2500,general,zero_grad_percentage,_module.layers.0.weight,0.5858185887336731
2500,general,zero_grad_percentage,_module.layers.1.weight,0.0
2500,general,zero_grad_percentage,_module.layers.2.weight,0.0
2500,train,zero_terms,,0.0
2500,train,softmax_collapse,,0.0
3000,train,loss,,5.664080717300418e-10
3000,test,loss,,45.952551713777794
3000,train,accuracy,,1.0
3000,test,accuracy,,0.0018271991647089533
3000,general,weights_l2,_module.layers.0.weight,70.05632019042969
3000,general,weights_l2,_module.layers.1.weight,98.7529525756836
3000,general,weights_l2,_module.layers.2.weight,62.25905990600586
3000,general,grad_l2_norm,_module.layers.0.weight,4.728048619284664e-09
3000,general,grad_l2_norm,_module.layers.1.weight,1.4466435827031887e-09
3000,general,grad_l2_norm,_module.layers.2.weight,3.3181348779720565e-09
3000,general,grad_cosine_similarity,_module.layers.0.weight,-0.04027785360813141
3000,general,grad_cosine_similarity,_module.layers.1.weight,-0.0933864638209343
3000,general,grad_cosine_similarity,_module.layers.2.weight,-0.06458014249801636
3000,general,abs_grad_l1_norm,_module.layers.0.weight,4.93163838655164e-07
3000,general,abs_grad_l1_norm,_module.layers.1.weight,2.2897444296177127e-07
3000,general,abs_grad_l1_norm,_module.layers.2.weight,3.8854386730236e-07
3000,general,zero_grad_percentage,_module.layers.0.weight,0.5740929245948792
