epoch,input_type,metric_name,layer,value
0,train,loss,,4.701461254159601
0,test,loss,,4.7551546151981245
0,train,accuracy,,0.019460500963391136
0,test,accuracy,,0.004698512137823023
0,general,weights_l2,_module.layers.0.weight,10.210325241088867
0,general,weights_l2,_module.layers.1.weight,10.095698356628418
0,general,weights_l2,_module.layers.2.weight,7.877925395965576
0,general,grad_l2_norm,_module.layers.0.weight,0.03758065402507782
0,general,grad_l2_norm,_module.layers.1.weight,0.024326441809535027
0,general,grad_l2_norm,_module.layers.2.weight,0.04825186729431152
0,general,grad_cosine_similarity,_module.layers.0.weight,-0.01434185542166233
0,general,grad_cosine_similarity,_module.layers.1.weight,-0.022407548502087593
0,general,grad_cosine_similarity,_module.layers.2.weight,-0.014477157033979893
0,general,abs_grad_l1_norm,_module.layers.0.weight,4.650442600250244
0,general,abs_grad_l1_norm,_module.layers.1.weight,3.497109889984131
0,general,abs_grad_l1_norm,_module.layers.2.weight,4.391650199890137
0,general,zero_grad_percentage,_module.layers.0.weight,0.3987168073654175
0,general,zero_grad_percentage,_module.layers.1.weight,0.09259999543428421
0,general,zero_grad_percentage,_module.layers.2.weight,0.08500000089406967
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
5000,train,loss,,6.928972812672623e-11
5000,test,loss,,46.09875216574641
5000,train,accuracy,,1.0
5000,test,accuracy,,0.001957713390759593
5000,general,weights_l2,_module.layers.0.weight,79.21994018554688
5000,general,weights_l2,_module.layers.1.weight,93.1987533569336
5000,general,weights_l2,_module.layers.2.weight,63.82004165649414
5000,general,grad_l2_norm,_module.layers.0.weight,3.3883912342602684e-10
5000,general,grad_l2_norm,_module.layers.1.weight,1.3135778575978918e-10
5000,general,grad_l2_norm,_module.layers.2.weight,2.4979152080106815e-10
5000,general,grad_cosine_similarity,_module.layers.0.weight,-0.06522627174854279
5000,general,grad_cosine_similarity,_module.layers.1.weight,-0.1430160254240036
5000,general,grad_cosine_similarity,_module.layers.2.weight,-0.10982871055603027
5000,general,abs_grad_l1_norm,_module.layers.0.weight,4.196525793531691e-08
5000,general,abs_grad_l1_norm,_module.layers.1.weight,2.0048329218980143e-08
5000,general,abs_grad_l1_norm,_module.layers.2.weight,2.7911809752367844e-08
5000,general,zero_grad_percentage,_module.layers.0.weight,0.39911502599716187
5000,general,zero_grad_percentage,_module.layers.1.weight,0.06499999761581421
5000,general,zero_grad_percentage,_module.layers.2.weight,0.06499999761581421
5000,train,zero_terms,,0.0
5000,train,softmax_collapse,,0.0
10000,train,loss,,2.9647998152202755e-11
10000,test,loss,,47.44769190267821
10000,train,accuracy,,1.0
10000,test,accuracy,,0.001957713390759593
10000,general,weights_l2,_module.layers.0.weight,79.91230773925781
10000,general,weights_l2,_module.layers.1.weight,93.79656982421875
10000,general,weights_l2,_module.layers.2.weight,64.69047546386719
10000,general,grad_l2_norm,_module.layers.0.weight,1.5887725857144375e-10
10000,general,grad_l2_norm,_module.layers.1.weight,5.737582631226701e-11
10000,general,grad_l2_norm,_module.layers.2.weight,1.0588149107482181e-10
10000,general,grad_cosine_similarity,_module.layers.0.weight,-0.060543492436409
10000,general,grad_cosine_similarity,_module.layers.1.weight,-0.14283248782157898
10000,general,grad_cosine_similarity,_module.layers.2.weight,-0.11222316324710846
10000,general,abs_grad_l1_norm,_module.layers.0.weight,1.895669399232247e-08
10000,general,abs_grad_l1_norm,_module.layers.1.weight,8.745431046008889e-09
10000,general,abs_grad_l1_norm,_module.layers.2.weight,1.1887924422637752e-08
10000,general,zero_grad_percentage,_module.layers.0.weight,0.4362831711769104
10000,general,zero_grad_percentage,_module.layers.1.weight,0.06499999761581421
10000,general,zero_grad_percentage,_module.layers.2.weight,0.06499999761581421
10000,train,zero_terms,,0.0
10000,train,softmax_collapse,,0.0
15000,train,loss,,1.886756944695813e-11
15000,test,loss,,48.17169217876086
15000,train,accuracy,,1.0
15000,test,accuracy,,0.001957713390759593
15000,general,weights_l2,_module.layers.0.weight,80.27406311035156
15000,general,weights_l2,_module.layers.1.weight,94.09953308105469
15000,general,weights_l2,_module.layers.2.weight,65.16085052490234
15000,general,grad_l2_norm,_module.layers.0.weight,8.958679631465571e-11
15000,general,grad_l2_norm,_module.layers.1.weight,3.3570958513085e-11
15000,general,grad_l2_norm,_module.layers.2.weight,6.126826823660281e-11
15000,general,grad_cosine_similarity,_module.layers.0.weight,-0.06727775931358337
15000,general,grad_cosine_similarity,_module.layers.1.weight,-0.15315797924995422
15000,general,grad_cosine_similarity,_module.layers.2.weight,-0.12119046598672867
15000,general,abs_grad_l1_norm,_module.layers.0.weight,1.1341102279516235e-08
15000,general,abs_grad_l1_norm,_module.layers.1.weight,5.116898460499897e-09
15000,general,abs_grad_l1_norm,_module.layers.2.weight,6.929328222327058e-09
15000,general,zero_grad_percentage,_module.layers.0.weight,0.37703537940979004
15000,general,zero_grad_percentage,_module.layers.1.weight,0.06499999761581421
15000,general,zero_grad_percentage,_module.layers.2.weight,0.06499999761581421
15000,train,zero_terms,,0.0003866976024748647
15000,train,softmax_collapse,,0.00038669758941978216
20000,train,loss,,1.3955181393651069e-11
20000,test,loss,,48.65014583965793
20000,train,accuracy,,1.0
20000,test,accuracy,,0.001957713390759593
20000,general,weights_l2,_module.layers.0.weight,80.51302337646484
20000,general,weights_l2,_module.layers.1.weight,94.27027130126953
20000,general,weights_l2,_module.layers.2.weight,65.47845458984375
20000,general,grad_l2_norm,_module.layers.0.weight,7.482988534368573e-11
20000,general,grad_l2_norm,_module.layers.1.weight,2.997798537185403e-11
20000,general,grad_l2_norm,_module.layers.2.weight,5.1507281079166134e-11
20000,general,grad_cosine_similarity,_module.layers.0.weight,-0.060932643711566925
20000,general,grad_cosine_similarity,_module.layers.1.weight,-0.1299014687538147
20000,general,grad_cosine_similarity,_module.layers.2.weight,-0.1088489517569542
