epoch,input_type,metric_name,layer,value
0,train,loss,,4.7265625
0,test,loss,,4.7265625
0,train,accuracy,,0.009790483649892304
0,test,accuracy,,0.0074393108848864525
0,general,weights_l2,layers.0.weight,8.173852920532227
0,general,weights_l2,layers.1.weight,8.175048828125
0,general,weights_l2,layers.2.weight,6.12448787689209
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.20751953125
1,test,loss,,12.0234375
1,train,accuracy,,1.0
1,test,accuracy,,0.0005220569042025581
1,general,weights_l2,layers.0.weight,45.99711608886719
1,general,weights_l2,layers.1.weight,49.102760314941406
1,general,weights_l2,layers.2.weight,40.28044128417969
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0035400390625
2,test,loss,,19.671875
2,train,accuracy,,1.0
2,test,accuracy,,0.00026102845210127906
2,general,weights_l2,layers.0.weight,56.005489349365234
2,general,weights_l2,layers.1.weight,61.20413589477539
2,general,weights_l2,layers.2.weight,49.96567153930664
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0023497161455452442
3,train,loss,,0.0025653839111328125
3,test,loss,,31.328125
3,train,accuracy,,1.0
3,test,accuracy,,0.00039154267815191856
3,general,weights_l2,layers.0.weight,80.54953002929688
3,general,weights_l2,layers.1.weight,84.3940658569336
3,general,weights_l2,layers.2.weight,62.00432586669922
3,train,zero_terms,,0.00019580967299784609
3,train,softmax_collapse,,0.04953984543681145
